before,nano,dead
0.485406468,0.109999804,0.110271988
0.480409060,0.110027416,0.110190622
0.495422548,0.109996708,0.110200328
0.497142762,0.100004614,0.100359780
0.497161260,0.100030138,0.100201212
0.489248490,0.110006910,0.110164860
0.499987228,0.101186840,0.101340518
0.476867518,0.109992976,0.110120280
0.458541680,0.109885492,0.110081528
0.500018242,0.106969698,0.107151792
0.485027934,0.109321058,0.109468948
0.486198512,0.109928838,0.110272236
0.418236602,0.110010856,0.110218742
0.487944324,0.106431510,0.106579030
0.476577202,0.110015864,0.110187442
0.445129252,0.101771560,0.102987366
0.457962964,0.106103064,0.106294606
0.496226636,0.104650908,0.104791778
0.420325842,0.109938318,0.110086358
0.497206908,0.110019308,0.110158088
0.497676122,0.104715630,0.104977800
0.457257664,0.109999200,0.110304120
0.373395004,0.109261402,0.109412094
0.497852660,0.109431678,0.109707332
0.441378912,0.102428304,0.102670424
0.301202938,0.108361406,0.108685920
0.307404146,0.108355884,0.108642736
0.460342428,0.110016678,0.110229450
0.406013738,0.109217342,0.109386508
0.489827708,0.109974384,0.110231936
0.424505428,0.109418264,0.109709648
0.454244148,0.100000498,0.100320452
0.373355400,0.108267410,0.108495756
0.239665374,0.109387946,0.109545872
0.480988792,0.110007714,0.110174766
0.331447362,0.109222328,0.109391784
0.381245712,0.100518920,0.100837106
0.257434122,0.109971532,0.111196152
0.388116810,0.110027822,0.110220944
0.485541594,0.109910988,0.110067926
0.468434068,0.106455960,0.106633950
0.385597492,0.109916326,0.110207970
0.381121530,0.109304108,0.109563284
0.254878268,0.104945128,0.105211926
0.474196176,0.110009474,0.110182304
0.479222312,0.109862916,0.110119462
0.306886012,0.108070548,0.108261568
0.469862780,0.100070344,0.100310764
0.449363020,0.108665072,0.108792856
0.393187834,0.107018654,0.107326322
0.456610442,0.109990728,0.110233118
0.302206726,0.107773160,0.107971258
0.489312508,0.109896220,0.110093136
0.454462620,0.110003654,0.110169810
0.479175360,0.109978798,0.110180978
0.245539970,0.109997374,0.110139194
0.485996172,0.110032262,0.110266410
0.462263568,0.109980990,0.110264056
0.377660976,0.107113736,0.107290584
0.481833816,0.109953448,0.110116782
0.484940472,0.108995068,0.109150204
0.356246122,0.100195972,0.100497216
0.478087336,0.108459230,0.108628962
0.468640710,0.109976210,0.110168256
0.359962092,0.110013800,0.110197336
0.474505742,0.109975266,0.110236880
0.291672578,0.107608084,0.107828174
0.499157594,0.108801334,0.108969432
0.421949120,0.109972854,0.110143954
0.319105024,0.110008202,0.110168796
0.399958338,0.109978736,0.110281292
0.479604506,0.108973442,0.109137784
0.454897814,0.108962054,0.119515086
0.436322522,0.110032614,0.110261160
0.417394316,0.109885322,0.110306082
0.432677418,0.109999216,0.110296362
0.366122344,0.110016702,0.110208076
0.476131342,0.109682206,0.109978348
0.343503400,0.158595084,0.158777980
0.424677746,0.109998692,0.110314620
0.386899850,0.108099126,0.108357112
0.376905786,0.110013988,0.110186154
0.239787260,0.100237756,0.100425218
0.419502558,0.110027212,0.110238080
0.417600384,0.109948788,0.110128358
0.306963504,0.109528514,0.109732390
0.395376910,0.109799612,0.110006486
0.478430456,0.110037294,0.110223774
0.481667636,0.109456044,0.109737338
0.428143690,0.109475734,0.109655090
0.435096190,0.109996988,0.110276242
0.459950346,0.109994824,0.110290612
0.370375836,0.109481234,0.109858394
0.339388270,0.100696490,0.100861712
0.459553112,0.108407116,0.108596628
0.491296236,0.107931344,0.108092880
0.395518334,0.110020006,0.110255002
0.266021596,0.101740284,0.102033992
0.481942256,0.107891402,0.108160734
0.485612076,0.100000258,0.100388464
0.489798732,0.100052946,0.100393916
0.486073604,0.109996954,0.110526866
0.491987370,0.110010400,0.110185330
0.490076824,0.108475236,0.108759588
0.499911502,0.108834686,0.108998648
0.499905282,0.108923340,0.109165634
0.489734022,0.109984902,0.110123660
0.499982820,0.100485524,0.100656214
0.497949842,0.109945424,0.110182878
0.494485208,0.110007884,0.110217358
0.491467874,0.109990178,0.110166034
0.497425152,0.109995778,0.110271042
0.499263748,0.101707978,0.101861256
0.484027590,0.109787314,0.110014428
0.484913626,0.109833894,0.110090578
0.486272046,0.109996956,0.110257284
0.499873792,0.106110906,0.106302694
0.489732508,0.109994728,0.110295110
0.500012330,0.109917202,0.110421210
0.498633344,0.102133302,0.102327380
0.489546004,0.110000356,0.110265532
0.489059264,0.109996054,0.110236314
0.489695224,0.109999382,0.110235214
0.488929848,0.108911066,0.109046038
0.481980414,0.109996922,0.110231702
0.494059724,0.109997432,0.110272878
0.495525144,0.100000156,0.100298694
0.499135052,0.109972648,0.110264198
0.489267310,0.109989530,0.110318118
0.492165534,0.110076854,0.110350764
0.496170018,0.109999332,0.110313930
0.498142286,0.104163358,0.104314172
0.495921888,0.159987924,0.161187444
0.487845934,0.109947462,0.110179528
0.455884210,0.109963730,0.110155202
0.457493118,0.108417268,0.108664522
0.476442298,0.109983656,0.112810442
0.498752838,0.110001130,0.110356274
0.489581260,0.109999864,0.110317660
0.482822746,0.109950290,0.110431184
0.490753522,0.109995290,0.110439772
0.488104602,0.109992994,0.110534628
0.459936278,0.109993042,0.110441588
0.492600578,0.109997804,0.110880750
0.488621590,0.106112974,0.106381474
0.497201516,0.110037478,0.110403852
0.499238314,0.103198974,0.103404492
0.498779346,0.104910944,0.105092590
0.497676772,0.101279880,0.101464804
0.488394600,0.110000438,0.110382038
